id,predictor,diff,result
1,p_awf,6.114698472868811,0
1,p_acl,5.711930575483512,1
1,p_awf_nwf,1.5849625007211543,0
1,p_awf_ncl,2.736965594166204,1
1,p_acl_nwf,2.736965594166204,1
1,p_acl_ncl,3.021126547680816,1
1,ic_awf_nwf,3.292540169926716,1
1,ic_awf_ncl,1.136293244425107,1
1,ic_acl_nwf,0.08428332118376503,0
1,ic_acl_ncl,0.1938705831039167,0
1,pmi_awf_nwf,4.529735972147657,0
1,pmi_awf_ncl,3.3777328787026075,0
1,pmi_acl_nwf,2.9749649813173082,1
1,pmi_acl_ncl,2.690804027802696,0
1,vd_awf_nwf,0.33067490106288455,0
1,vd_awf_nct,0.37621183873376773,0
1,vd_act_nwf,0.2665292892484107,0
1,vd_act_nct,0.36352038018964816,0
1,s_awf,0.29322751322751295,0
1,s_acl,0.1440833922412864,0
2,p_awf,2.8397972809860548,0
2,p_acl,3.4972233915178474,0
2,p_acl_ncl,2.015596855051019,0
2,ic_awf_nwf,1.2454279896238916,0
2,ic_awf_ncl,0.4604128169643351,1
2,ic_acl_nwf,1.4764164623078422,1
2,ic_acl_ncl,0.771747488210833,1
2,pmi_awf_ncl,2.839797280986054,0
2,pmi_acl_nwf,3.4972233915178474,0
2,pmi_acl_ncl,1.4816265364668286,0
2,vd_awf_nwf,0.08275447157811688,1
2,vd_awf_nct,0.20663620098013458,1
2,vd_act_nwf,0.003250678788480177,1
2,vd_act_nct,0.22006530274802916,1
2,s_awf,0.30418546365914795,0
2,s_acl,0.05528106124181964,0
3,p_awf,1.1346913914613737,1
3,p_acl,3.560409365239699,0
3,p_awf_nwf,0.2745760277164857,1
3,p_awf_ncl,1.453750964070291,0
3,p_acl_nwf,1.453750964070291,0
3,p_acl_ncl,1.0825652297154886,0
3,ic_awf_nwf,3.587760609778959,0
3,ic_awf_ncl,2.2652774943061385,1
3,ic_acl_nwf,1.7690625386399699,0
3,ic_acl_ncl,0.475858153518133,1
3,pmi_awf_nwf,1.4092674191778594,0
3,pmi_awf_ncl,0.3190595726089178,1
3,pmi_acl_nwf,2.106658401169408,0
3,pmi_acl_ncl,2.4778441355242102,0
3,vd_awf_nwf,0.04777768182417774,0
3,vd_awf_nct,0.07869622815564692,1
3,vd_act_nwf,0.1665779861931762,0
3,vd_act_nct,0.11426771765249011,0
3,s_awf,0.19449197860962603,1
3,s_acl,0.37534148895397434,1
4,p_awf,1.6423210951686844,1
4,p_acl,4.541401396158097,0
4,p_awf_nwf,7.370203037139789,1
4,p_awf_ncl,5.594324603924846,0
